Candidate,Gender,Race,State,DistrictNo,District,Party,ICO,PrimaryResults,PrimaryStatus,RunoffResults,RunoffStatus,GeneralResults,RankedChoiceResults,GeneralStatus,PVI,Clinton2016,Trump2016,WFD,MoneyRaised,MoneySpent,ElectedOffice
 Mike Miller,Male,White,FL,7,FL-7,Republican,Challenger,53.89,1,,,42.31,,0,0,51.4,44.1,0.171875133,1124044,1068436,Yes
 Scott Sturgill,Male,White,FL,7,FL-7,Republican,Challenger,30.36,0,,,,,,0,51.4,44.1,0.171875133,716714,611578,No
 Sanjay Patel,Male,Non-white,FL,8,FL-8,Democrat,Challenger,100,1,,,39.5,,0,-11,37.7,58.4,0.118610912,336484,334884,No
 Bill Posey,Male,White,FL,8,FL-8,Republican,Incumbent,100,1,,,60.5,,1,-11,37.7,58.4,0.118610912,920043,1033908,Yes
 Darren Soto,Male,Non-white,FL,9,FL-9,Democrat,Incumbent,66.38,1,,,58.02,,1,5,54.8,41.9,0.208502327,1501867,1508363,Yes
 Alan Grayson,Male,White,FL,9,FL-9,Democrat,Challenger,33.62,0,,,,,,5,54.8,41.9,0.208502327,914449,476440,Yes
 Wayne Liebnitzky,Male,White,FL,9,FL-9,Republican,Challenger,100,1,,,41.98,,0,5,54.8,41.9,0.208502327,61174,61175,No
 Wade Darius,Male,Non-white,FL,10,FL-10,Democrat,Challenger,25,0,,,,,,11,61.8,34.9,0.145395681,43739,43739,No
 Val Demings,Female,Non-white,FL,10,FL-10,Democrat,Incumbent,75,1,,,100,,1,11,61.8,34.9,0.145395681,834461,820299,Yes
 Dana Cottrell,Female,White,FL,11,FL-11,Democrat,Challenger,100,1,,,34.84,,0,-15,32.5,64.8,0.092956836,87571,82425,No
 Daniel Webster,Male,White,FL,11,FL-11,Republican,Incumbent,100,1,,,65.14,,1,-15,32.5,64.8,0.092956836,603083,510413,Yes
 Chris Hunter,Male,White,FL,12,FL-12,Democrat,Challenger,65.26,1,,,39.66,,0,-8,38.8,57.4,0.131870227,764758,749232,No
 Robert Matthew Tager,Male,White,FL,12,FL-12,Democrat,Challenger,15.62,0,,,,,,-8,38.8,57.4,0.131870227,31290,28522,No
 Stephen M. Perenich,Male,White,FL,12,FL-12,Democrat,Challenger,19.12,0,,,,,,-8,38.8,57.4,0.131870227,75666,75666,No
 Gus Michael Bilirakis,Male,White,FL,12,FL-12,Republican,Incumbent,100,1,,,58.09,,1,-8,38.8,57.4,0.131870227,2021176,2057203,Yes
 Charlie Crist,Male,White,FL,13,FL-13,Democrat,Incumbent,100,1,,,57.64,,1,2,49.6,46.4,0.173819371,3110537,1481506,Yes
 Brad Sostack,Male,White,FL,13,FL-13,Republican,Challenger,44,0,,,,,,2,49.6,46.4,0.173819371,153626,153626,No
 George Buck,Male,White,FL,13,FL-13,Republican,Challenger,56,1,,,42.36,,0,2,49.6,46.4,0.173819371,41128,40716,No
 Kathy Castor,Female,White,FL,14,FL-14,Democrat,Incumbent,100,1,,,100,,1,7,57.2,39,0.246927907,753285,646501,Yes
" Raymond ""Ray"" Pena",Male,Non-white,FL,15,FL-15,Democrat,Open,15.05,0,,,,,,-6,43.1,53.1,0.147631935,10968,19462,No
 Andrew P. Learned,Male,White,FL,15,FL-15,Democrat,Open,31.6,0,,,,,,-6,43.1,53.1,0.147631935,361318,348266,No
 Kristen Carlson,Female,White,FL,15,FL-15,Democrat,Open,53.35,1,,,46.98,,0,-6,43.1,53.1,0.147631935,2076829,2038400,No
 Ed Shoemaker,Male,White,FL,15,FL-15,Republican,Open,5.54,0,,,,,,-6,43.1,53.1,0.147631935,21952,21698,No
 Neil Combee,Male,White,FL,15,FL-15,Republican,Open,33.78,0,,,,,,-6,43.1,53.1,0.147631935,212165,206077,Yes
 Sean Harper,Male,White,FL,15,FL-15,Republican,Open,9.87,0,,,,,,-6,43.1,53.1,0.147631935,95189,95189,No
 Ross Spano,Male,White,FL,15,FL-15,Republican,Open,44.14,1,,,53.02,,1,-6,43.1,53.1,0.147631935,875291,851583,Yes
 Danny Kushmer,Male,,FL,15,FL-15,Republican,Open,6.67,0,,,,,,-6,43.1,53.1,0.147631935,75600,75600,No
 David Shapiro,Male,White,FL,16,FL-16,Democrat,Challenger,54.69,1,,,45.44,,0,-7,43,53.7,0.140018987,2525793,2478335,No
 Jan Schneider,Female,White,FL,16,FL-16,Democrat,Challenger,45.31,0,,,,,,-7,43,53.7,0.140018987,81860,37637,No
 Vern Buchanan,Male,White,FL,16,FL-16,Republican,Incumbent,100,1,,,54.56,,1,-7,43,53.7,0.140018987,2842904,4266442,Yes
Allen Ellison,Male,Non-white,FL,17,FL-17,Democrat,Open,,1,,,37.74,,0,-13,35,62.2,0.103351123,2500,2500,No
 April Freeman,Female,White,FL,17,FL-17,Democrat,Open,76.98,1,,,,,,-13,35,62.2,0.103351123,28265,4283,No
 Bill Pollard,Male,White,FL,17,FL-17,Democrat,Open,23.02,0,,,,,,-13,35,62.2,0.103351123,13262,13054,No
 Julio Gonzalez,Male,Non-white,FL,17,FL-17,Republican,Open,18.35,0,,,,,,-13,35,62.2,0.103351123,466675,445939,Yes
 Bill Akins,Male,White,FL,17,FL-17,Republican,Open,19.28,0,,,,,,-13,35,62.2,0.103351123,32310,18727,No
 Greg Steube,Male,White,FL,17,FL-17,Republican,Open,62.37,1,,,62.26,,1,-13,35,62.2,0.103351123,864106,658110,Yes
 Pam Keith,Female,Non-white,FL,18,FL-18,Democrat,Challenger,39.7,0,,,,,,-5,44.1,53.3,0.151440443,577107,551247,No
 Lauren Baer,Female,White,FL,18,FL-18,Democrat,Challenger,60.3,1,,,45.7,,0,-5,44.1,53.3,0.151440443,4583024,4566665,No
 Dave Cummings,Male,White,FL,18,FL-18,Republican,Challenger,11.03,0,,,,,,-5,44.1,53.3,0.151440443,23262,17709,No
 Mark Freeman,Male,White,FL,18,FL-18,Republican,Challenger,11.32,0,,,,,,-5,44.1,53.3,0.151440443,348380,272310,No
 Brian Mast,Male,White,FL,18,FL-18,Republican,Incumbent,77.65,1,,,54.3,,1,-5,44.1,53.3,0.151440443,6038912,5975446,Yes
 David Holden,Male,White,FL,19,FL-19,Democrat,Challenger,67.94,1,,,37.72,,0,-13,37.5,59.6,0.157903721,576037,528491,No
 Todd James Truax,Male,White,FL,19,FL-19,Democrat,Challenger,32.06,0,,,,,,-13,37.5,59.6,0.157903721,15242,16172,No
 Francis Rooney,Male,White,FL,19,FL-19,Republican,Incumbent,100,1,,,62.27,,1,-13,37.5,59.6,0.157903721,1218403,911700,Yes
 Alcee L. Hastings,Male,Non-white,FL,20,FL-20,Democrat,Incumbent,73.79,1,,,100,,1,31,80.2,18.1,0.279165596,789051,804991,Yes
 Sheila Cherfilus-McCormick,Female,Non-white,FL,20,FL-20,Democrat,Challenger,26.21,0,,,,,,31,80.2,18.1,0.279165596,39544,38968,No
 Lois Frankel,Male,White,FL,21,FL-21,Democrat,Incumbent,100,1,,,100,,1,9,58.6,39.1,0.231857163,970978,807021,Yes
 Jeff Fandl,Male,White,FL,22,FL-22,Democrat,Challenger,13.47,0,,,,,,6,56.8,41,0.254035875,19863,16547,No
 Ted Deutch,Female,White,FL,22,FL-22,Democrat,Incumbent,86.53,1,,,62.02,,1,6,56.8,41,0.254035875,1271135,1175121,Yes
 Eddison Walters,Male,Non-white,FL,22,FL-22,Republican,Challenger,25.06,0,,,,,,6,56.8,41,0.254035875,13298,12704,No
" Javier ""Javi"" Manjarres",Male,Non-white,FL,22,FL-22,Republican,Challenger,34.15,0,,,,,,6,56.8,41,0.254035875,81922,81922,No
 Nicolas Kimaz,Male,White,FL,22,FL-22,Republican,Challenger,40.79,1,,,37.98,,0,6,56.8,41,0.254035875,201425,199852,No
 Debbie Wasserman Schultz,Female,White,FL,23,FL-23,Democrat,Incumbent,100,1,,,58.48,,1,11,61.9,35.8,0.319525309,2182357,1885001,Yes
 Carla Spalding,Female,Non-white,FL,23,FL-23,Republican,Challenger,21.58,0,,,,,,11,61.9,35.8,0.319525309,766371,766575,No
 Carlos J. Reyes,Male,Non-white,FL,23,FL-23,Republican,Challenger,33.72,0,,,,,,11,61.9,35.8,0.319525309,366199,365192,No
" Joseph ""Joe"" Kaufman",Male,White,FL,23,FL-23,Republican,Challenger,44.7,1,,,35.98,,0,11,61.9,35.8,0.319525309,155756,498776,No
 Frederica S. Wilson,Female,Non-white,FL,24,FL-24,Democrat,Incumbent,83.67,1,,,100,,1,34,82.9,15.4,0.382999318,358138,328732,Yes
 Ricardo De La Fuente,Male,Non-white,FL,24,FL-24,Democrat,Challenger,16.33,0,,,,,,34,82.9,15.4,0.382999318,175803,175795,No
 Mary Barzee Flores,Female,White,FL,25,FL-25,Democrat,Challenger,100,1,,,39.55,,0,-4,47.9,49.7,0.32500664,2144513,2174020,Yes
 Mario Diaz-Balart,Male,Non-white,FL,25,FL-25,Republican,Incumbent,100,1,,,60.45,,1,-4,47.9,49.7,0.32500664,2260270,2572674,Yes
 Debbie Mucarsel-Powell,Female,Non-white,FL,26,FL-26,Democrat,Open,63.45,1,,,50.87,,1,6,56.8,40.5,0.356776535,4577778,4520083,No
 Demetries Andrew Grimes,Male,White,FL,26,FL-26,Democrat,Challenger,36.55,0,,,,,,6,56.8,40.5,0.356776535,112816,112109,No
 Souraya Faas,Female,Non-white,FL,26,FL-26,Republican,Challenger,16.02,0,,,,,,6,56.8,40.5,0.356776535,10645,10645,No
 Carlos Curbelo,Male,Non-white,FL,26,FL-26,Republican,Incumbent,83.98,1,,,49.13,,0,6,56.8,40.5,0.356776535,5073603,5023567,Yes
 Michael A. Hepburn,Male,Non-white,FL,27,FL-27,Democrat,Open,6.14,0,,,,,,5,58.5,38.9,0.424418184,37529,37529,No
 David Richardson,Male,White,FL,27,FL-27,Democrat,Open,27.48,0,,,,,,5,58.5,38.9,0.424418184,2087800,2075938,Yes
 Kristen Rosen Gonzalez,Female,White,FL,27,FL-27,Democrat,Open,17.54,0,,,,,,5,58.5,38.9,0.424418184,420023,396460,Yes
 Donna Shalala,Female,White,FL,27,FL-27,Democrat,Open,31.91,1,,,51.76,,1,5,58.5,38.9,0.424418184,4112619,4049832,No
 Matt Haggman,Male,,FL,27,FL-27,Democrat,Open,16.93,0,,,,,,5,58.5,38.9,0.424418184,1311687,1178331,No
 Elizabeth Adadi,Female,Non-white,FL,27,FL-27,Republican,Open,1.98,0,,,,,,5,58.5,38.9,0.424418184,27268,16636,No
 Angie Chirino,Female,Non-white,FL,27,FL-27,Republican,Open,6.86,0,,,,,,5,58.5,38.9,0.424418184,3997292,3991319,No
 Bettina Rodriguez Aguilera,Female,Non-white,FL,27,FL-27,Republican,Open,4.31,0,,,,,,5,58.5,38.9,0.424418184,86042,87171,No
 Bruno A. Barreiro,Male,Non-white,FL,27,FL-27,Republican,Open,25.67,0,,,,,,5,58.5,38.9,0.424418184,574878,472661,Yes
 Gina Sosa,Female,Non-white,FL,27,FL-27,Republican,Open,1.95,0,,,,,,5,58.5,38.9,0.424418184,11462,11772,No
 Maria Elvira Salazar,Female,Non-white,FL,27,FL-27,Republican,Open,40.49,1,,,45.76,,0,5,58.5,38.9,0.424418184,2055166,2016258,No
 Maria Peiro,Female,Non-white,FL,27,FL-27,Republican,Open,7.99,0,,,,,,5,58.5,38.9,0.424418184,15270,14707,No
 Michael Ohevzion,Male,Non-white,FL,27,FL-27,Republican,Open,3.76,0,,,,,,5,58.5,38.9,0.424418184,173794,173794,No
 Stephen Marks,Male,,FL,27,FL-27,Republican,Open,7,0,,,,,,5,58.5,38.9,0.424418184,286922,286922,No
Barbara A. Seidman,Female,Non-white,GA,1,GA-1,Democrat,Challenger,32.46,0,,,,,,-9,40.9,56.4,0.090355929,61566,56061,No
Lisa M. Ring,Female,White,GA,1,GA-1,Democrat,Challenger,67.54,1,,,42.46,,0,-9,40.9,56.4,0.090355929,224120,205896,No
"Earl L. ""Buddy"" Carter",Male,White,GA,1,GA-1,Republican,Incumbent,100,1,,,57.74,,1,-9,40.9,56.4,0.090355929,1806797,1144933,Yes
Sanford Bishop,Male,Non-white,GA,2,GA-2,Democrat,Incumbent,100,1,,,59.65,,1,6,55,43.3,0.104873971,1118203,1153645,Yes
Herman West Jr,Male,Non-white,GA,2,GA-2,Republican,Challenger,100,1,,,40.35,,0,6,55,43.3,0.104873971,22549,16727,No
Chuck Enderlin,Male,White,GA,3,GA-3,Democrat,Challenger,59.87,1,,,34.47,,0,-18,32.8,64.3,0.070011088,55647,55647,No
Rusty Oliver,Male,White,GA,3,GA-3,Democrat,Challenger,40.13,0,,,,,,-18,32.8,64.3,0.070011088,15271,15021,No
Drew Ferguson,Male,White,GA,3,GA-3,Republican,Incumbent,74.37,1,,,65.53,,1,-18,32.8,64.3,0.070011088,1245744,1138099,Yes
Philip Singleton,Male,White,GA,3,GA-3,Republican,Challenger,25.63,0,,,,,,-18,32.8,64.3,0.070011088,20752,17068,No
"Henry C ""Hank"" Johnson Jr",Male,Non-white,GA,4,GA-4,Democrat,Incumbent,79.77,1,,,78.85,,1,24,75.3,22.2,0.199601281,475755,482342,Yes
Juan Parks,Male,Non-white,GA,4,GA-4,Democrat,Challenger,20.23,0,,,,,,24,75.3,22.2,0.199601281,14685,13061,No
Joe Profit,Male,Non-white,GA,4,GA-4,Republican,Challenger,100,1,,,21.15,,0,24,75.3,22.2,0.199601281,81618,74824,No
John R. Lewis,Male,Non-white,GA,5,GA-5,Democrat,Incumbent,100,1,,,100,,1,34,85,11.9,0.281333238,3672309,1801591,Yes
Lucy Mcbath,Female,Non-white,GA,6,GA-6,Democrat,Challenger,36.27,Runoff,53.85,1,50.51,,1,-8,46.8,48.3,0.184335987,2608753,2352375,No
Bobby Kaple,Male,White,GA,6,GA-6,Democrat,Challenger,26.25,0,,,,,,-8,46.8,48.3,0.184335987,622890,614374,No
Kevin Abel,Male,White,GA,6,GA-6,Democrat,Challenger,30.54,Runoff,46.15,0,,,,-8,46.8,48.3,0.184335987,852113,844515,No
Steven Knight Griffin,Male,White,GA,6,GA-6,Democrat,Challenger,6.95,0,,,,,,-8,46.8,48.3,0.184335987,9593,9382,No
Karen Handel,Female,White,GA,6,GA-6,Republican,Incumbent,100,1,,,49.49,,0,-8,46.8,48.3,0.184335987,8684782,8545504,Yes
David Kim,Male,Non-white,GA,7,GA-7,Democrat,Challenger,25.98,Runoff,48.18,0,,,,-9,44.8,51.1,0.15945623,1486230,1479457,No
Ethan Pham,Male,Non-white,GA,7,GA-7,Democrat,Challenger,17.84,0,,,,,,-9,44.8,51.1,0.15945623,429088,429033,No
Melissa Davis,Female,Non-white,GA,7,GA-7,Democrat,Challenger,13.67,0,,,,,,-9,44.8,51.1,0.15945623,66192,66192,No
Carolyn Bourdeaux,Female,White,GA,7,GA-7,Democrat,Challenger,27.28,Runoff,51.82,1,49.93,,0,-9,44.8,51.1,0.15945623,2907523,2698976,No
Kathleen Allen,Female,White,GA,7,GA-7,Democrat,Challenger,11.02,0,,,,,,-9,44.8,51.1,0.15945623,92821,67815,No
Steve Reilly,Male,White,GA,7,GA-7,Democrat,Challenger,4.2,0,,,,,,-9,44.8,51.1,0.15945623,46842,46842,No
Rob Woodall,Male,White,GA,7,GA-7,Republican,Incumbent,71.93,1,,,50.07,,1,-9,44.8,51.1,0.15945623,1233900,1451943,Yes
Shane Hazel,Male,White,GA,7,GA-7,Republican,Challenger,28.07,0,,,,,,-9,44.8,51.1,0.15945623,59476,59476,No
Austin Scott,Male,White,GA,8,GA-8,Republican,Incumbent,100,1,,,100,,1,-15,34.4,63.3,0.072727105,818129,638678,Yes
Dave Cooper,Male,White,GA,9,GA-9,Democrat,Challenger,47.27,0,,,,,,-31,19.3,77.8,0.0471169,39593,28841,No
Josh Mccall,Male,White,GA,9,GA-9,Democrat,Challenger,52.73,1,,,20.49,,0,-31,19.3,77.8,0.0471169,100616,89593,No
Doug Collins,Male,White,GA,9,GA-9,Republican,Incumbent,100,1,,,79.51,,1,-31,19.3,77.8,0.0471169,1402490,732150,Yes
Tabitha A. Johnson-Green,Female,Non-white,GA,10,GA-10,Democrat,Challenger,50.2,1,,,37.11,,0,-15,35.8,61.3,0.073831545,23123,18282,No
Chalis Montgomery,Female,White,GA,10,GA-10,Democrat,Challenger,26.46,0,,,,,,-15,35.8,61.3,0.073831545,99781,98294,No
Richard Dien Winfield,Male,White,GA,10,GA-10,Democrat,Challenger,23.33,0,,,,,,-15,35.8,61.3,0.073831545,116217,125156,No
Bradley Griffin,Male,White,GA,10,GA-10,Republican,Challenger,10.74,0,,,,,,-15,35.8,61.3,0.073831545,10750,10739,No
Jody Hice,Male,White,GA,10,GA-10,Republican,Incumbent,78.9,1,,,62.89,,1,-15,35.8,61.3,0.073831545,652118,612307,Yes
Joe Hunt,Male,White,GA,10,GA-10,Republican,Challenger,10.37,0,,,,,,-15,35.8,61.3,0.073831545,14050,13443,No
Flynn D. Broady Jr,Male,Non-white,GA,11,GA-11,Democrat,Challenger,100,1,,,38.21,,0,-17,35.3,60.3,0.115116765,49267,45332,No
Barry Loudermilk,Male,White,GA,11,GA-11,Republican,Incumbent,100,1,,,61.79,,1,-17,35.3,60.3,0.115116765,845420,601659,Yes
Francys Johnson,Male,Non-white,GA,12,GA-12,Democrat,Challenger,52.86,1,,,40.52,,0,-9,40.7,56.9,0.079302957,277080,273264,No
Robert Ingham,Male,White,GA,12,GA-12,Democrat,Challenger,31.15,0,,,,,,-9,40.7,56.9,0.079302957,5879,0,No
Trent Nesmith,Male,White,GA,12,GA-12,Democrat,Challenger,15.99,0,,,,,,-9,40.7,56.9,0.079302957,39939,38673,No
Eugene Yu,Male,Non-white,GA,12,GA-12,Republican,Challenger,24.01,0,,,,,,-9,40.7,56.9,0.079302957,67410,23996,No
Rick W. Allen,Male,White,GA,12,GA-12,Republican,Incumbent,75.99,1,,,59.48,,1,-9,40.7,56.9,0.079302957,1119114,1121928,Yes
David Scott,Male,Non-white,GA,13,GA-13,Democrat,Incumbent,100,1,,,76.18,,1,20,71,26.6,0.183807554,1099187,1050126,Yes
Femi Akinkugbe,Male,Non-white,GA,13,GA-13,Republican,Challenger,7,0,,,,,,20,71,26.6,0.183807554,2500,2500,No
David Callahan,Male,White,GA,13,GA-13,Republican,Challenger,93,1,,,23.82,,0,20,71,26.6,0.183807554,16540,17221,No
Steven Lamar Foster,Male,White,GA,14,GA-14,Democrat,Challenger,100,1,,,23.5,,0,-27,22.1,75,0.049583493,12736,8052,No
Tom Graves,Male,White,GA,14,GA-14,Republican,Incumbent,100,1,,,76.5,,1,-27,22.1,75,0.049583493,2041801,931189,Yes
Beth Keiko Fukumoto,Female,Non-white,HI,1,HI-1,Democrat,Open,6.1,0,,,,,,17,63.1,30.5,0.282903142,85280,84364,Yes
Donna Mercado Kim,Female,Non-white,HI,1,HI-1,Democrat,Open,17.6,0,,,,,,17,63.1,30.5,0.282903142,644918,639773,Yes
Doug S. Chin,Male,Non-white,HI,1,HI-1,Democrat,Open,24.7,0,,,,,,17,63.1,30.5,0.282903142,569107,566937,Yes
Ernest Yorihiko Martin,Male,Non-white,HI,1,HI-1,Democrat,Open,3.1,0,,,,,,17,63.1,30.5,0.282903142,335488,335488,Yes
Kaniela Saito Ing,Male,Non-white,HI,1,HI-1,Democrat,Open,6.1,0,,,,,,17,63.1,30.5,0.282903142,404156,390953,Yes
Sam Puletasi,Male,Non-white,HI,1,HI-1,Democrat,Open,0.4,0,,,,,,17,63.1,30.5,0.282903142,2500,2500,No
Ed Case,Male,White,HI,1,HI-1,Democrat,Open,38.7,1,,,70.3,,1,17,63.1,30.5,0.282903142,561545,481431,Yes
Cam Cavasso,Male,White,HI,1,HI-1,Republican,Open,69.5,1,,,22.2,,0,17,63.1,30.5,0.282903142,155799,146659,Yes
Raymond Rene Vinole,Male,White,HI,1,HI-1,Republican,Open,15.4,0,,,,,,17,63.1,30.5,0.282903142,2500,2500,No
Tulsi Gabbard,Female,Non-white,HI,2,HI-2,Democrat,Incumbent,75.6,1,,,74,,1,19,61.4,29.6,0.195426751,1376771,1369519,Yes
Sherry Alu Campagna,Female,Non-white,HI,2,HI-2,Democrat,Challenger,11.1,0,,,,,,19,61.4,29.6,0.195426751,30698,28077,No
Anthony Tony Austin,Male,Non-white,HI,2,HI-2,Democrat,Challenger,3.7,0,,,,,,19,61.4,29.6,0.195426751,2500,2500,No
Brian Evans,Male,White,HI,2,HI-2,Republican,Challenger,100,1,,,21.7,,0,19,61.4,29.6,0.195426751,2500,2500,No
George Ramsey,Male,Non-white,IA,1,IA-1,Democrat,Challenger,6.3,0,,,,,,1,45.2,48.7,0.102793529,71612,65040,No
Courtney L. Rowe,Female,White,IA,1,IA-1,Democrat,Challenger,7.5,0,,,,,,1,45.2,48.7,0.102793529,16237,16237,No
Abby Finkenauer,Female,White,IA,1,IA-1,Democrat,Challenger,67,1,,,51,,1,1,45.2,48.7,0.102793529,4556416,4524773,Yes
Thomas Heckroth,Male,White,IA,1,IA-1,Democrat,Challenger,19.2,0,,,,,,1,45.2,48.7,0.102793529,317046,317046,No
Rod Blum,Male,White,IA,1,IA-1,Republican,Incumbent,100,1,,,45.9,,0,1,45.2,48.7,0.102793529,2309730,2253977,Yes
Dave Loebsack,Male,White,IA,2,IA-2,Democrat,Incumbent,100,1,,,54.8,,1,1,45,49.1,0.105077289,2051518,2330264,Yes
Christopher Peters,Male,White,IA,2,IA-2,Republican,Challenger,100,1,,,42.6,,0,1,45,49.1,0.105077289,735851,741114,No
Cindy Axne,Female,White,IA,3,IA-3,Democrat,Challenger,58,1,,,49.3,,1,-1,45,48.5,0.145903484,5164911,5124190,No
Eddie J. Mauro,Male,White,IA,3,IA-3,Democrat,Challenger,15.6,0,,,,,,-1,45,48.5,0.145903484,772019,744173,No
Pete D'Alessandro,Male,White,IA,3,IA-3,Democrat,Challenger,26.4,0,,,,,,-1,45,48.5,0.145903484,371582,368870,No
David Young,Male,White,IA,3,IA-3,Republican,Incumbent,100,1,,,47.2,,0,-1,45,48.5,0.145903484,2757113,2798805,Yes
J.D. Scholten,Male,White,IA,4,IA-4,Democrat,Challenger,51.3,1,,,47,,0,-11,33.5,60.9,0.083977229,3253487,3130558,No
John Paschen,Male,White,IA,4,IA-4,Democrat,Challenger,16.7,0,,,,,,-11,33.5,60.9,0.083977229,111155,111155,No
Leann Jacobsen,Female,White,IA,4,IA-4,Democrat,Challenger,32,0,,,,,,-11,33.5,60.9,0.083977229,257830,257830,Yes
Cyndi Hanson,Female,White,IA,4,IA-4,Republican,Challenger,25.2,0,,,,,,-11,33.5,60.9,0.083977229,34185,31704,No
Steve King,Male,White,IA,4,IA-4,Republican,Incumbent,74.8,1,,,50.4,,1,-11,33.5,60.9,0.083977229,872562,940450,Yes
Cristina McNeil,Female,Non-white,ID,1,ID-1,Democrat,Open,69.7,1,,,30.8,,0,-21,25.4,63.7,0.085593227,22875,16264,No
James Vandermaas,Male,White,ID,1,ID-1,Democrat,Open,15.8,0,,,,,,-21,25.4,63.7,0.085593227,17222,17222,No
Michael W Smith,Male,White,ID,1,ID-1,Democrat,Open,14.5,0,,,,,,-21,25.4,63.7,0.085593227,2500,2500,No
Alex Gallegos,Male,White,ID,1,ID-1,Republican,Open,3.5,0,,,,,,-21,25.4,63.7,0.085593227,79429,79429,No
Christy Perry,Female,White,ID,1,ID-1,Republican,Open,11.2,0,,,,,,-21,25.4,63.7,0.085593227,31792,31662,Yes
David H. Leroy,Male,White,ID,1,ID-1,Republican,Open,15.6,0,,,,,,-21,25.4,63.7,0.085593227,342607,342607,Yes
Russ Fulcher,Male,White,ID,1,ID-1,Republican,Open,43.1,1,,,62.7,,1,-21,25.4,63.7,0.085593227,869878,847365,No
Luke Malek,Male,White,ID,1,ID-1,Republican,Open,14.3,0,,,,,,-21,25.4,63.7,0.085593227,299909,296715,Yes
Michael Snyder,Male,White,ID,1,ID-1,Republican,Open,10.3,0,,,,,,-21,25.4,63.7,0.085593227,142729,140820,No
Nick Henderson,Male,White,ID,1,ID-1,Republican,Open,2,0,,,,,,-21,25.4,63.7,0.085593227,2500,2500,No
Aaron Swisher,Male,White,ID,2,ID-2,Democrat,Challenger,67.5,1,,,39.3,,0,-17,29.8,54.5,0.096624755,128586,121141,No
Peter Rickards,Male,White,ID,2,ID-2,Democrat,Challenger,32.5,0,,,,,,-17,29.8,54.5,0.096624755,2500,2500,No
Mike Simpson,Male,White,ID,2,ID-2,Republican,Incumbent,100,1,,,60.7,,1,-17,29.8,54.5,0.096624755,1105201,934614,Yes
Bobby L. Rush,Male,Non-white,IL,1,IL-1,Democrat,Incumbent,100,1,,,73.5,,1,27,75.4,21.4,0.281833144,386313,313532,Yes
"Jimmy Lee Tillman, Ii",Male,Non-white,IL,1,IL-1,Republican,Challenger,100,1,,,19.8,,0,27,75.4,21.4,0.281833144,2500,2500,Yes
Robin Kelly,Female,Non-white,IL,2,IL-2,Democrat,Incumbent,82.1,1,,,81.1,,1,29,78,19.1,0.249201579,1001124,875760,Yes
Marcus Lewis,Male,Non-white,IL,2,IL-2,Democrat,Challenger,17.9,0,,,,,,29,78,19.1,0.249201579,2500,2500,No
John F Morrow,Male,Non-white,IL,2,IL-2,Republican,Challenger,27.9,0,,,,,,29,78,19.1,0.249201579,2500,2500,No
David Merkle,Male,White,IL,2,IL-2,Republican,Challenger,36.6,1,,,18.9,,0,29,78,19.1,0.249201579,2500,2500,No
Patrick Harmon,Male,White,IL,2,IL-2,Republican,Challenger,35.5,0,,,,,,29,78,19.1,0.249201579,2500,2500,No
Daniel William Lipinski,Male,White,IL,3,IL-3,Democrat,Incumbent,51.1,1,,,73,,1,6,55.2,39.9,0.241774015,1585492,2347477,Yes
Marie Newman,Female,White,IL,3,IL-3,Democrat,Challenger,48.9,0,,,,,,6,55.2,39.9,0.241774015,1416680,1416609,No
Arthur J. Jones,Male,White,IL,3,IL-3,Republican,Challenger,100,1,,,25.9,,0,6,55.2,39.9,0.241774015,2500,2500,No
"Jesus ""Chuy"" Garcia",Male,Non-white,IL,4,IL-4,Democrat,Open,66.2,1,,,86.6,,1,33,82.1,13.2,0.401449217,856710,811372,Yes
Richard Gonzalez,Male,Non-white,IL,4,IL-4,Democrat,Open,11.9,0,,,,,,33,82.1,13.2,0.401449217,47110,42179,No
Sol A. Flores,Female,Non-white,IL,4,IL-4,Democrat,Open,21.9,0,,,,,,33,82.1,13.2,0.401449217,339664,315259,No
Mark Wayne Lorch,Male,White,IL,4,IL-4,Republican,Open,100,1,,,13.4,,0,33,82.1,13.2,0.401449217,8109,7607,No
Sameena Mustafa,Female,Non-white,IL,5,IL-5,Democrat,Challenger,24.1,0,,,,,,20,70.5,23.9,0.357678169,133837,133837,No
Benjamin Thomas Wolf,Male,White,IL,5,IL-5,Democrat,Challenger,9.5,0,,,,,,20,70.5,23.9,0.357678169,72839,72835,No
Mike Quigley,Male,White,IL,5,IL-5,Democrat,Incumbent,62.5,1,,,76.7,,1,20,70.5,23.9,0.357678169,1319472,1213171,Yes
Steven J. Schwartzberg,Male,White,IL,5,IL-5,Democrat,Challenger,4,0,,,,,,20,70.5,23.9,0.357678169,17311,17505,No
Tom Hanson,Male,White,IL,5,IL-5,Republican,Challenger,100,1,,,23.3,,0,20,70.5,23.9,0.357678169,2500,2500,No
Amanda Howland,Female,White,IL,6,IL-6,Democrat,Challenger,12.7,0,,,,,,-2,50.2,43.2,0.198677476,195323,194580,No
Becky Anderson Wilkins,Female,White,IL,6,IL-6,Democrat,Challenger,6,0,,,,,,-2,50.2,43.2,0.198677476,295757,295757,No
Carole Cheney,Female,White,IL,6,IL-6,Democrat,Challenger,17.4,0,,,,,,-2,50.2,43.2,0.198677476,337729,335666,No
